Station,Region,River,Location,Low_Score,Med_Score,High_Score,Total_Score,Low_Qualifier,Med_Qualifier,High_Qualifier,Additional_Comment,Easting,Northing,Area_km2,Median_Elevation,Base_Flow_Index
46003,EA-DC,Dart,Austins Bridge,0,2,2,4,Venford Reservoir operation affects low flows,,,,275100,65800,247.6,347.3,0.52
46005,EA-DC,East Dart,Bellever,2,2,2,6,,,,,265700,77600,21.5,457.5,0.44
47009,EA-DC,Tiddy,Tideford,2,2,2,6,,,,,234400,59600,37.2,107.6,0.58
48003,EA-DC,Fal,Tregony,2,2,2,6,,,,,192100,44700,87,125,0.67
48004,EA-DC,Warleggan,Trengoffe,2,2,2,6,,,,,216000,67400,25.3,232,0.7
49004,EA-DC,Gannel,Gwills,2,2,2,6,,,,,182900,59300,41,77.6,0.67
50002,EA-DC,Torridge,Torrington,2,2,2,6,,,,,250000,118600,663,145.7,0.38
52010,EA-WX,Brue,Lovington,2,2,0,4,,,Suspected inhomogeneity due to construction of Bruton Dam flood storage reservoir in 1983 after extensive flooding in the town,,359000,131800,135.2,105.1,0.48
52016,EA-WX,Currypool Stream,Currypool Farm,2,2,1,5,,,Caution due to varying bankfull level over time and bypassing in older record,,322100,138200,15.7,173.8,0.71
53006,EA-WX,Frome (Bristol),Frenchay,2,1,2,5,,"11.4% urbanised, but few long records in this region",,,363800,177200,148.9,65.8,0.38
53008,EA-WX,Avon,Great Somerford,1,2,2,5,"Evidence of groundwater abstraction, but influence not quantified",,,,396500,183300,303,114.3,0.57
53009,EA-WX,Wellow Brook,Wellow,2,2,2,6,,,,,374000,158000,72.6,135.3,0.62
53017,EA-WX,Boyd,Bitton,2,2,2,6,,,,,368100,169900,47.9,105.4,0.44
54008,EA-WM,Teme,Tenbury,2,1,2,5,,General scatter in rating across flow regime,,,359800,268500,1134.4,213.7,0.56
54018,EA-WM,Rea Brook,Hookagate,2,2,2,6,,,,,346600,309200,178,145.1,0.51
54025,NRW,Dulas,Rhos-y-pentref,1,2,2,5,Gravel accumulation in flume has potentially introduced a homogeneity issue,,,,295000,282500,52.7,336.5,0.4
54034,EA-WM,Dowles Brook,Oak Cottage,2,2,0,4,,,Too few gaugings at high flow (> ~ 10 cumecs) to have any confidence ,,377100,276400,40.8,129.4,0.4
54036,EA-WM,Isbourne,Hinton on the Green,0,2,2,4,Multiple influences with effluent discharges having substantial influence on low flows,,,,402400,240700,90.7,98.4,0.56
55008,CEHW,Wye,Cefn Brwyn,2,2,2,6,,,,,282900,283800,10.55,479.8,0.31
55014,EA-WM,Lugg,Byton,2,2,1,5,,,Too few gaugings in high flow range,,336400,264700,203.3,285.7,0.65
55016,NRW,Ithon,Disserth,2,2,2,6,,,,,302500,257800,358,318.3,0.39
55026,NRW,Wye,Ddol Farm,2,2,2,6,,,,,297600,267600,174,384.1,0.38
55029,NRW,Monnow,Grosmont,2,2,2,6,,,,,341600,224800,354,183.3,0.51
55034,CEHW,Cyff,Cyff flume,2,2,2,6,,,,,282400,284200,3.07,479.7,0.29
56013,NRW,Yscir,Pont-Ar-Yscir,2,2,1,5,,,Too few gaugings in high flow range,,300300,230400,62.8,360.9,0.46
57004,NRW,Cynon,Abercynon,2,2,2,6,,,,,307900,195700,106,264.9,0.4
60002,NRW,Cothi,Felin Mynachdy,2,2,2,6,,,,,250900,222500,297.8,228.6,0.43
60003,NRW,Taf,Clog-y-Fran,2,2,1,5,,,Too few gaugings in high flow range,,223800,216000,217.3,121.8,0.55
60012,NRW,Twrch,Ddol Las,2,2,2,6,,,,,265000,244000,20.7,306,0.35
62001,NRW,Teifi,Glanteifi,2,2,2,6,,,,,224400,241700,893.6,195.4,0.54
64001,NRW,Dyfi,Dyfi Bridge,2,2,2,6,,,,,274500,302000,471.3,261.3,0.39
65001,NRW,Glaslyn,Beddgelert,1,2,1,4,Suffers from mobile bed and influence of HEP scheme on low flows,,Bypassing at high flows,,259200,347800,68.6,325,0.32
65005,NRW,Erch,Pencaenewydd,2,2,2,6,,,,,240000,340400,18.1,143,0.54
66004,NRW,Wheeler,Bodfari,2,2,0,4,,,Too few gaugings in high flow range; Bypassing and non-modular flow,,310500,371300,62.9,199.1,0.82
67010,NRW,Gelyn,Cynefail,2,2,2,6,,,,,284200,342000,13.1,411.1,0.26
67018,NRW,Dee,New Inn,2,2,0,4,,,Bypassing and substantial gauging scatter in  high flow range,,287400,330800,53.9,394,0.28
68005,EA-GMMC,Weaver,Audlem,2,1,2,5,, Full series is inhomogeneous ,,Advised to use data from 1970 only due to rating change,365300,343000,207,86.1,0.54
71001,EA-CL,Ribble,Samlesbury,0,2,2,4,Augmented by upstream impoundments and substantial discharges,,Advised to use NRFA 15-minute POT data after 1977 only (threshold change issue) ,,358900,430400,1145,197.9,0.34
71004,EA-CL,Calder,Whalley Weir,0,2,2,4,Suspected low flow homogeneity issues (see station description),,,,372900,436100,316,209,0.42
72005,EA-CL,Lune,Killington,2,2,2,6,,,,,362200,490600,219,293.5,0.33
72014,EA-CL,Conder,Galgate,2,2,2,6,,,,,348200,455400,28.5,104.2,0.35
73005,EA-CL,Kent,Sedgwick,2,2,2,6,,,,,350900,487400,209,204.5,0.41
73011,EA-CL,Mint,Mint Bridge,2,2,2,6,,,,,352400,494500,65.8,209.3,0.37
73015,EA-CL,Keer,High Keer Weir,2,2,2,6,,,,,352300,471900,48,91.6,0.37
74001,EA-CL,Duddon,Duddon Hall,0,2,2,4,Substantial abstraction from Ulpha pumping station upstream,,,,319500,489600,85.66,291,0.29
75017,EA-CL,Ellen,Bullgill,2,2,0,4,,,Site poor at capturing high flows,,309600,538400,96,157.8,0.49
76014,EA-CL,Eden,Kirkby Stephen,2,2,2,6,,,,,377300,509700,69.4,376.1,0.26
77004,SEPA-SW,Kirtle Water,Mossknowe,2,2,2,6,,,,,328500,569300,72,123.6,0.29
78004,SEPA-SW,Kinnel Water,Redhall,2,2,2,6,,,,,307700,586900,76.1,235.3,0.27
79002,SEPA-SW,Nith,Friars Carse,2,2,2,6,,,,,292300,585100,799,288,0.39
79004,SEPA-SW,Scar Water,Capenoch,2,2,2,6,,,,,284500,594100,142,318.7,0.31
81002,SEPA-SW,Cree,Newton Stewart,2,2,2,6,,,,,241300,565300,368,211.6,0.28
81004,SEPA-SW,Bladnoch,Low Malzie,2,2,2,6,,,,,238200,554500,334,93.9,0.34
83006,SEPA-SW,Ayr,Mainholm,2,2,2,6,,,,,236200,621600,574,212,0.3
83010,SEPA-SW,Irvine,Newmilns,2,2,2,6,,,,,253300,637200,72.8,240,0.28
84022,SEPA-SW,Duneaton,Maidencots,2,2,2,6,,,,,293000,626000,110.3,333.9,0.41
85003,SEPA-SW,Falloch,Glen Falloch,1,2,2,5,"HEP scheme and water transfer within catchment, but influence not quantified",,,,232100,719500,80.3,445.9,0.16
90003,SEPA-NW,Nevis,Claggan,2,2,2,6,,,,,211600,774300,69.2,518,0.26
93001,SEPA-NW,Carron,New Kelso,2,2,2,6,,,,,194200,842900,137.8,341.6,0.26
94001,SEPA-NW,Ewe,Poolewe,2,2,2,6,,,,,186000,880300,441.1,310.4,0.63
95001,SEPA-NW,Inver,Little Assynt,0,2,2,4,Operation of gates for fisheries purposes immediately upstream which influences low flows,,,,214700,924900,137.5,268.2,0.66
96002,SEPA-NW,Naver,Apigill,2,2,2,6,,,,,271400,956800,477,187,0.42
102001,NRW,Cefni,Bodffordd,2,2,1,5,,,Too few gaugings in high flow range,,242900,376900,21.7,67.5,0.45
201005,RA,Camowen,Camowen Terrace,0,2,2,4,Influence of HEP scheme on low flows,,,,246100,373000,276.6,150.5,0.47
201008,RA,Derg,Castlederg,2,2,2,6,,,,,226500,384200,335.4,171.6,0.32
202002,RA,Faughan,Drumahoe,2,2,2,6,,,,,246400,415100,273.1,172.6,0.47
203028,RA,Agivey,Whitehill,1,2,2,5,"Recent HEP scheme installed which is of concern for low flows, but influence not quantified  ",,,,288300,419400,100.5,161.6,0.36
203042,RA,Crumlin,Cidercourt Bridge,1,2,2,5,Suspected low flow homogeneity issue due to shifting bed at gauging station location,,,,313500,376500,55.3,127,0.34
204001,RA,Bush,Seneirl Bridge,2,2,2,6,,,,,294200,436300,299.2,89.8,0.5
205008,RA,Lagan,Drumiller,2,2,2,6,,,,,323600,352500,84.6,156,0.35
206001,RA,Clanrye,Mountmill Bridge,2,2,2,6,,,,,308500,331000,120.3,89.4,0.5
